阻尼系数c(N·s/m),平均功率_解析(W),平均功率_时域(W)
0,0,0
2500,30.86305036,31.68588217
5000,60.85300461,61.71086831
7500,89.22684628,89.75805351
10000,115.3753392,115.4624604
12500,138.8582524,138.5096073
15000,159.4149072,158.6945185
17500,176.9529903,175.9426736
20000,191.5221458,190.3028583
22500,203.279914,201.9237572
25000,212.4566308,211.0243363
27500,219.3238873,217.8649024
30000,224.1689869,222.7226479
32500,227.2760806,225.8731221
35000,228.9135075,227.5775593
37500,229.3262822,228.0752106
40000,228.7324956,227.5795451
42500,227.322474,226.2772109
45000,225.2597335,224.3288118
47500,222.6829925,221.8707687
50000,219.7087131,219.0177364
52500,216.433817,215.8652188
55000,212.9383499,212.492152
57500,209.2879659,208.9633245
60000,205.5361655,205.331565
62500,201.7262649,201.6396711
65000,197.8930995,197.9220817
67500,194.0644773,194.2063059
70000,190.2624087,190.5141326
72500,186.504138,186.8626469
75000,182.8030042,183.2650791
77500,179.1691566,179.7315099
80000,175.6101467,176.2694545
82500,172.1314172,172.8843459
85000,168.7367048,169.5799323
87500,165.4283716,166.358604
90000,162.2076768,163.2216625
92500,159.0750002,160.1695403
95000,156.0300243,157.2019818
97500,153.0718843,154.3181905
100000,150.1992895,151.5169493
