阻尼比例系数c0,幂指数p(无量纲),平均功率P(W)
0,0,0
0,0.1,0
0,0.2,0
0,0.3,0
0,0.4,0
0,0.5,0
0,0.6,0
0,0.7,0
0,0.8,0
0,0.9,0
0,1,0
114.7550621,0,1.385167057
114.7550621,0.1,1.139014846
114.7550621,0.2,0.9401811699
114.7550621,0.3,0.7798368274
114.7550621,0.4,0.6506322247
114.7550621,0.5,0.5464285035
114.7550621,0.6,0.4621225269
114.7550621,0.7,0.3935278334
114.7550621,0.8,0.3372683124
114.7550621,0.9,0.290674792
114.7550621,1,0.2516770457
649.1526607,0,7.779559757
649.1526607,0.1,6.371342793
649.1526607,0.2,5.222757498
649.1526607,0.3,4.28561658
649.1526607,0.4,3.520419857
649.1526607,0.5,2.894978898
649.1526607,0.6,2.383169839
649.1526607,0.7,1.963867988
649.1526607,0.8,1.620067529
649.1526607,0.9,1.338147986
649.1526607,1,1.107227627
1788.854382,0,21.30167194
1788.854382,0.1,17.44842366
1788.854382,0.2,14.29835417
1788.854382,0.3,11.72571759
1788.854382,0.4,9.625456846
1788.854382,0.5,7.910549315
1788.854382,0.6,6.50936583
1788.854382,0.7,5.363271974
1788.854382,0.8,4.424517133
1788.854382,0.9,3.654380132
1788.854382,1,3.021548301
3672.161988,0,43.17053752
3672.161988,0.1,35.41583763
3672.161988,0.2,29.04384864
3672.161988,0.3,23.82084286
3672.161988,0.4,19.54635041
3672.161988,0.5,16.05139393
3672.161988,0.6,13.19504493
3672.161988,0.7,10.86060523
3672.161988,0.8,8.951862895
3672.161988,0.9,7.389742073
3672.161988,1,6.1094719
6415.002991,0,73.59120367
6415.002991,0.1,60.65879761
6415.002991,0.2,49.89953909
6415.002991,0.3,41.00440204
6415.002991,0.4,33.68098312
6415.002991,0.5,27.66784315
6415.002991,0.6,22.73893019
6415.002991,0.7,18.70282274
6415.002991,0.8,15.39949154
6415.002991,0.9,12.69619925
6415.002991,1,10.4833583
10119.28851,0,110.9945077
10119.28851,0.1,92.49235714
10119.28851,0.2,76.65120695
10119.28851,0.3,63.29820028
10119.28851,0.4,52.15948255
10119.28851,0.5,42.93202186
10119.28851,0.6,35.32223298
10119.28851,0.7,29.06439936
10119.28851,0.8,23.9273159
10119.28851,0.9,19.71455119
10119.28851,1,16.26160378
14877.05445,0,151.1113357
14877.05445,0.1,128.5295097
14877.05445,0.2,108.048201
14877.05445,0.3,90.10294507
14877.05445,0.4,74.73751354
14877.05445,0.5,61.78311543
14877.05445,0.6,50.97349008
14877.05445,0.7,42.01408888
14877.05445,0.8,34.61990505
14877.05445,0.9,28.53352478
14877.05445,1,23.53146479
20772.88514,0,187.1272506
20772.88514,0.1,164.3748192
20772.88514,0.2,141.4412588
20772.88514,0.3,119.9215934
20772.88514,0.4,100.6239306
20772.88514,0.5,83.83569676
20772.88514,0.6,69.52769239
20772.88514,0.7,57.50046572
20772.88514,0.8,47.48150787
20772.88514,0.9,39.18342225
20772.88514,1,32.33491875
27885.48009,0,212.1238515
27885.48009,0.1,194.537768
27885.48009,0.2,172.9513719
27885.48009,0.3,150.2488795
27885.48009,0.4,128.3210827
27885.48009,0.5,108.2557581
27885.48009,0.6,90.55174791
27885.48009,0.7,75.31614776
27885.48009,0.8,62.42440267
27885.48009,0.9,51.63674636
27885.48009,1,42.6736529
36288.73693,0,222.5620002
36288.73693,0.1,214.5895045
36288.73693,0.2,198.5389842
36288.73693,0.3,177.9587461
36288.73693,0.4,155.6739997
36288.73693,0.5,133.69083
36288.73693,0.6,113.2634585
36288.73693,0.7,95.04090282
36288.73693,0.8,79.23841878
36288.73693,0.9,65.79675335
36288.73693,1,54.50854546
46052.53754,0,219.6024889
46052.53754,0.1,223.0011743
46052.53754,0.2,215.4809771
46052.53754,0.3,200.1992336
46052.53754,0.4,180.2824171
46052.53754,0.5,158.3879219
46052.53754,0.6,136.5164798
46052.53754,0.7,115.9921777
46052.53754,0.8,97.54918213
46052.53754,0.9,81.47262197
46052.53754,1,67.74905432
57243.34022,0,207.3446769
57243.34022,0.1,221.1823879
57243.34022,0.2,223.1822622
57243.34022,0.3,215.280118
57243.34022,0.4,200.1432065
57243.34022,0.5,180.5392281
57243.34022,0.6,158.9276451
57243.34022,0.7,137.2362955
57243.34022,0.8,116.7891783
57243.34022,0.9,98.34943829
57243.34022,1,82.23371944
69924.63903,0,190.2304812
69924.63903,0.1,212.0898584
69924.63903,0.2,222.8594076
69924.63903,0.3,222.9833313
69924.63903,0.4,214.155035
69924.63903,0.5,198.7113128
69924.63903,0.6,179.1362755
69924.63903,0.7,157.6975897
69924.63903,0.8,136.2169267
69924.63903,0.9,115.9712703
69924.63903,1,97.70870402
84157.32866,0,171.581956
84157.32866,0.1,198.7723055
84157.32866,0.2,216.6097118
84157.32866,0.3,224.2361457
84157.32866,0.4,222.2212697
84157.32866,0.5,212.1320401
84157.32866,0.6,196.0839989
84157.32866,0.7,176.3422248
84157.32866,0.8,155.0004579
84157.32866,0.9,133.7591354
84157.32866,1,113.8172449
100000,0,153.3768535
100000,0.1,183.6058451
100000,0.2,206.5766932
100000,0.3,220.5187712
100000,0.4,225.0003187
100000,0.5,220.7201245
100000,0.6,209.1849913
100000,0.7,192.3613916
100000,0.8,172.3440377
100000,0.9,151.0705976
100000,1,130.1130615
