周期,平均功率(W),周期末浮子位移(m),周期末振子位移(m)
1,46.80884572,-0.1344945337,-0.1719358049
2,216.4412743,-0.44984858,-0.5095568581
3,432.0198279,-0.7190175595,-0.7794568071
4,518.3532952,-0.7804354193,-0.825390627
5,451.6636184,-0.6249217166,-0.6503929702
6,299.90527,-0.3794110701,-0.3930331002
7,152.1576797,-0.2102650216,-0.2261369146
8,91.53100633,-0.2145795674,-0.2447781267
9,151.5550143,-0.3655213598,-0.4111092235
10,277.7431747,-0.5461214167,-0.5974705671
11,368.2006299,-0.6386316388,-0.6844653955
12,369.4427997,-0.597606382,-0.6321830487
13,297.9254327,-0.4672887462,-0.4924288216
14,205.293995,-0.3417433086,-0.3647498704
15,147.2151193,-0.2995486331,-0.328449173
16,156.3422898,-0.3559161636,-0.3940830398
17,219.5700503,-0.4611310194,-0.5053286277
18,286.1648757,-0.5418489946,-0.585530256
19,311.019703,-0.5508257923,-0.588948613
20,285.7516839,-0.4924568421,-0.5241848284
21,233.4932343,-0.4127186488,-0.4412427906
22,188.8680611,-0.3647591965,-0.394922758
23,178.2850105,-0.3744411416,-0.4095162626
24,204.5884465,-0.4275141567,-0.4671795509
25,245.6481392,-0.4842999634,-0.5253488842
26,272.2102499,-0.5084940942,-0.5473896188
27,269.5655888,-0.4894356058,-0.5245523875
28,243.9117922,-0.4451043218,-0.4774002882
29,214.1661336,-0.4068796662,-0.4389650032
30,199.1293651,-0.3979781549,-0.4322961323
31,206.4262579,-0.4198747904,-0.4571464075
32,228.459615,-0.4543735129,-0.4933493433
33,248.8657634,-0.4779165355,-0.516478168
34,254.786753,-0.4771860459,-0.5138186964
35,244.6804446,-0.4559974497,-0.4906290417
36,227.1440931,-0.4304989389,-0.4643366013
37,214.0573135,-0.4173136075,-0.4519269982
38,213.0268733,-0.4229893903,-0.4592711591
39,223.1115933,-0.4412529874,-0.4789334
40,236.3196334,-0.4587756532,-0.4967594263
稳态成立周期_功率判据,未在40周期内收敛
稳态成立周期_状态判据,未在40周期内收敛
