阻尼比例系数c0,幂指数p(无量纲),平均功率P(W)
75000,0.28,232.6927956
75000,0.31,232.6222856
75000,0.34,231.6878559
75000,0.37,229.9429021
75000,0.4,227.4457095
75000,0.43,224.2582352
75000,0.46,220.4449741
75000,0.49,216.0719031
75000,0.52,211.2055109
81250,0.28,231.8031961
81250,0.31,232.7280085
81250,0.34,232.7632182
81250,0.37,231.9512166
81250,0.4,230.3406742
81250,0.43,227.9853647
81250,0.46,224.9430452
81250,0.49,221.2743913
81250,0.52,217.0420015
87500,0.28,230.0325487
87500,0.31,231.8639248
87500,0.34,232.7965716
87500,0.37,232.8619247
87500,0.4,232.0987412
87500,0.43,230.5520013
87500,0.46,228.2718549
87500,0.49,225.3125858
87500,0.52,221.7316279
93750,0.28,227.6157576
93750,0.31,230.2644106
93750,0.34,232.0181459
93750,0.37,232.8979092
93750,0.4,232.9327028
93750,0.43,232.158595
93750,0.46,230.6177452
93750,0.49,228.3574369
93750,0.52,225.4291375
100000,0.28,224.7341785
100000,0.31,228.1141804
100000,0.34,230.6129249
100000,0.37,232.2415929
100000,0.4,233.0198838
100000,0.43,232.9751604
100000,0.46,232.1415668
100000,0.49,230.5591473
100000,0.52,228.2729658
100000,0.28,224.7341785
100000,0.31,228.1141804
100000,0.34,230.6129249
100000,0.37,232.2415929
100000,0.4,233.0198838
100000,0.43,232.9751604
100000,0.46,232.1415668
100000,0.49,230.5591473
100000,0.52,228.2729658
100000,0.28,224.7341785
100000,0.31,228.1141804
100000,0.34,230.6129249
100000,0.37,232.2415929
100000,0.4,233.0198838
100000,0.43,232.9751604
100000,0.46,232.1415668
100000,0.49,230.5591473
100000,0.52,228.2729658
100000,0.28,224.7341785
100000,0.31,228.1141804
100000,0.34,230.6129249
100000,0.37,232.2415929
100000,0.4,233.0198838
100000,0.43,232.9751604
100000,0.46,232.1415668
100000,0.49,230.5591473
100000,0.52,228.2729658
100000,0.28,224.7341785
100000,0.31,228.1141804
100000,0.34,230.6129249
100000,0.37,232.2415929
100000,0.4,233.0198838
100000,0.43,232.9751604
100000,0.46,232.1415668
100000,0.49,230.5591473
100000,0.52,228.2729658
