时间t(s),浮子垂荡位移zf(m),浮子垂荡速度dzf/dt(m/s),浮子纵摇角位移θf(rad),浮子纵摇角速度dθf/dt(rad/s),振子垂荡位移zo(m),振子垂荡速度dzo/dt(m/s),振子纵摇角位移θo(rad),振子纵摇角速度dθo/dt(rad/s)
0,0,0,0,0,0,0,0,0
0.2,0.0105621267992,0.0959855311067,0.00189047228434,0.0181574051277,0.00334283036,0.048312530225,0.00250627146823,0.015284150686
0.4,0.034776961037,0.138644938607,0.00709460251233,0.0332106025391,0.0223222840719,0.140371778529,0.00755463994435,0.0386152538437
0.6,0.0635281100456,0.143271601912,0.0146510420026,0.0411830246316,0.0564044841238,0.188584438126,0.0152499708209,0.0388448900857
0.8,0.0897496814824,0.112584183317,0.0230872241303,0.0414804654107,0.0927382341854,0.163154960493,0.0241684057918,0.04370982022
1,0.105907829177,0.0425127241287,0.0306174646859,0.0325694372113,0.117791397137,0.0796520599492,0.031573431354,0.0340117123221
1.2,0.104496206688,-0.0609559425017,0.0355382800449,0.0152018641617,0.122258786171,-0.0391625326758,0.0368186513762,0.0135483423847
1.4,0.080540468295,-0.179059061368,0.0363008291474,-0.00838506567855,0.101061586656,-0.173723454395,0.0374193317184,-0.00697377877702
1.6,0.0335194994933,-0.28745520473,0.0318950736907,-0.0359727692682,0.0532250101387,-0.301402728173,0.0327949119995,-0.0391841429711
1.8,-0.0322051286896,-0.362496510589,0.0219490711061,-0.0632270592863,-0.017313078709,-0.396285267754,0.0225414450446,-0.0647620024556
2,-0.107992954024,-0.385490484183,0.00685977688343,-0.0865274104851,-0.101466681627,-0.434150464149,0.00673020322904,-0.08991892633
2.2,-0.182157440522,-0.345149414493,-0.0121188969392,-0.101696749938,-0.186124912408,-0.39973525218,-0.0128358067171,-0.106140193224
2.4,-0.241707293604,-0.239997637201,-0.0330418098799,-0.105377054983,-0.256320631462,-0.290176439327,-0.0345915098917,-0.108105916494
2.6,-0.27443853057,-0.0794512516999,-0.0533989173893,-0.095886423419,-0.297873448677,-0.116147100867,-0.0556594487291,-0.0999206388557
2.8,-0.271104410411,0.116597832598,-0.0704762655421,-0.0727858523535,-0.299960220248,0.0998114139146,-0.0732279184239,-0.0748207978152
3,-0.227280078199,0.320291879143,-0.0817349805584,-0.0380551091659,-0.257240709201,0.326268106295,-0.0848663703836,-0.0385204973469
3.2,-0.144610143793,0.499648412463,-0.0851658485564,0.00469699303811,-0.171115254378,0.527909566061,-0.088285296369,0.00481729703485
3.4,-0.0311407356596,0.623443427701,-0.0796249931217,0.0508079515495,-0.049975074008,0.671233697329,-0.0824358731023,0.0534252248747
3.6,0.0993734034196,0.666684739722,-0.0649814795887,0.0948997110208,0.0916699427953,0.72934028678,-0.0672277856649,0.0985631502564
3.8,0.229183505483,0.615152417418,-0.0421263661919,0.132103198248,0.235000195189,0.686511028337,-0.0434833633388,0.136711838826
4,0.33906673247,0.46861848902,-0.0128717191948,0.158339034318,0.359384256853,0.54081946414,-0.0132133734889,0.164087033278
4.2,0.411242060163,0.24169941809,0.0202688099093,0.170546871666,0.445310686519,0.305360576902,0.0210691808467,0.176135615489
4.4,0.432224776926,-0.0377221748943,0.0542961445825,0.166998362621,0.477340981261,0.00747546250141,0.0562689280999,0.172949804875
4.6,0.395140273746,-0.33218374808,0.0859667408529,0.146991534801,0.446694309167,-0.314312559209,0.0890508648953,0.152282083535
4.8,0.301142013925,-0.599843668131,0.112038086656,0.111200144938,0.352992990044,-0.615444717878,0.116133308202,0.11569395689
5,0.15968472254,-0.800534982218,0.129524552371,0.0616308697961,0.204861469541,-0.851632254159,0.134347024679,0.064494049731
5.2,-0.0124157990941,-0.90181806135,0.136009849655,0.00191615050733,0.019200549305,-0.985337187837,0.141185459143,0.0023010466234
5.4,-0.193076415755,-0.88417459065,0.1299675117,-0.0626136604789,-0.180723421416,-0.991319408806,0.134948453257,-0.0648892259529
5.6,-0.357912239489,-0.744509500499,0.111089146584,-0.125228845599,-0.368160299265,-0.860439842774,0.115312404582,-0.130444926672
5.8,-0.483654786507,-0.496991158406,0.0805078501577,-0.178392571711,-0.516357480117,-0.602056897053,0.0834898102383,-0.185553573634
6,-0.551465862855,-0.171208292798,0.0408365994707,-0.215047522223,-0.602321701974,-0.244330469601,0.0422515478294,-0.223242252847
6.2,-0.549626612804,0.192053350619,-0.0040536491829,-0.229932544544,-0.610444492353,0.167669795345,-0.00430567071501,-0.238316198578
6.4,-0.475255490486,0.546139543974,-0.0495213683831,-0.220720185417,-0.53540121084,0.577358860761,-0.0513801657059,-0.228358662233
6.6,-0.334927135556,0.844048924437,-0.0908031422502,-0.188531512766,-0.383631261495,0.92534514269,-0.0940821607587,-0.19491212091
6.8,-0.144198888304,1.04386302275,-0.123677701548,-0.137565629933,-0.172886502341,1.15952923234,-0.128061320383,-0.142169141606
7,0.0739477519125,1.11414781217,-0.144995212028,-0.0741200171205,0.0701329993949,1.24371009039,-0.150066340253,-0.0763518319626
7.2,0.291721196587,1.03899326105,-0.152971179473,-0.0053415593659,0.313530892197,1.16265294218,-0.158244879964,-0.00510277093541
7.4,0.480016573415,0.821594305982,-0.147234169654,0.0619375163099,0.524609814198,0.923537319513,-0.152224970921,0.0644261745428
7.6,0.612387570292,0.48523213203,-0.128687305503,0.121890582625,0.674245524626,0.554503759292,-0.132995652877,0.126159730743
7.8,0.668889622907,0.0709972359926,-0.0992757829868,0.169914996842,0.74076220621,0.10114987265,-0.102593478734,0.175487590828
8,0.639156456981,-0.367511831939,-0.0617506260589,0.202528224053,0.712926403862,-0.378710956995,-0.0638390795595,0.209227620825
8.2,0.524191126471,-0.77152825358,-0.0194647026026,0.217169068463,0.591721389661,-0.822016279736,-0.0201189671144,0.224766974798
8.4,0.336589146233,-1.08524550778,0.023807082344,0.212197633817,0.390586278715,-1.16871814247,0.024730881887,0.220258619788
8.6,0.0991608136184,-1.26352130949,0.0640709066025,0.187130017504,0.133946658233,-1.37037221538,0.0665755569643,0.194701269246
8.8,-0.157870494212,-1.27829218434,0.0973919609672,0.143127575922,-0.14586537821,-1.39735064646,0.10126802902,0.149065744156
9,-0.400767540708,-1.1230271912,0.120274868897,0.083502007552,-0.412855328432,-1.24305127812,0.125087658131,0.0868152912722
9.2,-0.596817878216,-0.814553381121,0.130128046873,0.0139792922008,-0.632080053632,-0.924365669523,0.135296957473,0.0141989169196
9.4,-0.718916493852,-0.391565483025,0.125725532973,-0.0576244830551,-0.774119332291,-0.478989442531,0.130641454574,-0.0603006845828
9.6,-0.749487260289,0.0904814143967,0.107528271136,-0.122500072788,-0.818801743667,0.03913564131,0.111668923648,-0.127434920539
9.8,-0.683061142576,0.567502015924,0.0777213496598,-0.172519621981,-0.757917014289,0.565339425965,0.0807179632419,-0.178892531608
10,-0.527059343889,0.976257428474,0.0399022154097,-0.201931090705,-0.596715367513,1.03094929042,0.0415468670991,-0.208963361826
10.2,-0.300724146114,1.26306856157,-0.0015135920774,-0.208398869552,-0.353881163608,1.37188917498,-0.00128621618974,-0.215427445248
10.4,-0.0325150181552,1.39031062517,-0.0419968400717,-0.193049696905,-0.0596282575754,1.53859321548,-0.0431220705391,-0.199444885129
10.6,0.243543080209,1.34043834326,-0.077529172669,-0.159686226545,0.248123052435,1.50475582441,-0.0798201693346,-0.164866379313
10.8,0.492100008381,1.11789887542,-0.105023611776,-0.113618739093,0.528954132279,1.27205489611,-0.108197378706,-0.117232244793
11,0.680899751118,0.748967204186,-0.122511473482,-0.0605596554834,0.74558387466,0.869706746375,-0.12624668755,-0.0625852734545
11.2,0.78492734752,0.279114547086,-0.1291399282,-0.00586240966681,0.868959320691,0.3497124563,-0.133138169111,-0.00650334113387
11.4,0.789760252924,-0.232301576441,-0.125058426497,0.0458304436748,0.882100742628,-0.220583778093,-0.129059902199,0.046433723822
11.6,0.693621408815,-0.719576260749,-0.111269241716,0.0906221459672,0.782303863512,-0.767302060819,-0.11501924772,0.092566457117
11.8,0.50778784044,-1.11934630874,-0.0894876572281,0.125261891156,0.581520008857,-1.21931542392,-0.092699102052,0.128719738863
12,0.255259915876,-1.37906363826,-0.0620193399379,0.147102717647,0.304893146214,-1.51726003369,-0.064392077304,0.151976781677
12.2,-0.0321328433516,-1.46396557217,-0.0316289614513,0.154243903043,-0.0124065209463,-1.6213977863,-0.0329299623852,0.159953753354
12.4,-0.317789494471,-1.36162837851,-0.00135863797186,0.145884478034,-0.329717586836,-1.5172432923,-0.00150860934097,0.151524591969
12.6,-0.565024883092,-1.08367403359,0.0257376040483,0.122781867491,-0.606227034727,-1.21780749822,0.0266339742231,0.127483581015
12.8,-0.741806015155,-0.664559955758,0.0469446483453,0.0876025662114,-0.80635420109,-0.761753846998,0.0486395823316,0.0908310724614
13,-0.824959911865,-0.157523272018,0.0602739372326,0.0448986505407,-0.904374140303,-0.207785705962,0.0624523533918,0.046507046118
13.2,-0.803301904962,0.372096732,0.06479276296,0.000533516413238,-0.887645528899,0.373428176898,0.0671389261449,0.000635917589566
13.4,-0.679214581877,0.855518693827,0.0607861667779,-0.0393831218281,-0.75811008353,0.908230779307,0.0630216118922,-0.040546742104
13.6,-0.468394847627,1.22992790088,0.0496825339562,-0.0697211317783,-0.532000503351,1.32879435576,0.0515840261729,-0.0718397029649
13.8,-0.197777466944,1.44703256215,0.033755300308,-0.0872740842491,-0.237845442377,1.58126748121,0.0351688551587,-0.0899648220162
14,0.0980445929684,1.47934730682,0.0156911348553,-0.0911239686418,0.087047561702,1.632727205,0.0165454729587,-0.0939523732324
14.2,0.381357488005,1.32341652455,-0.00185427757134,-0.0824239716944,0.401302068486,1.47595775978,-0.00154494757392,-0.0849871889578
14.4,0.616188003202,0.999853825385,-0.0166168299669,-0.0638274723889,0.664822059,1.13089580269,-0.0167697828302,-0.0658564923201
14.6,0.772874196036,0.550452354334,-0.0269584829535,-0.0388387286048,0.844038551434,0.642135846219,-0.0274538284111,-0.0402268241168
14.8,0.831798264846,0.0327759850132,-0.0319803842839,-0.0112677162483,0.916286226005,0.0728630202377,-0.0326876539004,-0.0119971953083
15,0.785832186173,-0.487186711832,-0.0315427774082,0.0151569585427,0.872698428736,-0.503676527217,-0.0323281499119,0.0151126676769
15.2,0.641188822157,-0.94345705809,-0.0262206139285,0.0370554704029,0.719262647949,-1.0138179821,-0.0269429599563,0.0377315151557
15.4,0.416566309126,-1.27850719638,-0.0172111342246,0.0516231996357,0.475943243131,-1.39296431497,-0.0177305299478,0.0529490142549
15.6,0.140698897643,-1.4505736975,-0.00619432349368,0.0568834895719,0.174017049928,-1.5937949982,-0.00640491922588,0.0585817736087
15.8,-0.151359638099,-1.43888235217,0.00486159395395,0.05198082389,-0.148021131421,-1.59220494258,0.00499143352757,0.053606639782
16,-0.422732809405,-1.24615117735,0.0139529726916,0.037454652356,-0.449444494187,-1.39017039738,0.01436254855,0.0385614466784
16.2,-0.639421504269,-0.898104315486,0.0193363639698,0.0153693200143,-0.692506427603,-1.01511983349,0.0198897108474,0.0156707898035
16.4,-0.774610401833,-0.440057065273,0.0198237658108,-0.0108401250412,-0.847185913517,-0.515975957405,0.020349324803,-0.0114149768266
16.6,-0.812027219904,0.0690486697606,0.0150116013469,-0.0368775790632,-0.894866522662,0.0433926271287,0.0153416954073,-0.0382310723276
16.8,-0.747912959679,0.564413666207,0.00537727683585,-0.058373291819,-0.830530597501,0.592300633764,0.00537471685324,-0.0603070852041
17,-0.591346873012,0.983860655372,-0.00779133711573,-0.0717209633688,-0.663250322339,1.06200124688,-0.00821678241406,-0.0739652185492
17.2,-0.362909069145,1.27577394368,-0.0226157649244,-0.0746937181605,-0.414936033013,1.39421666274,-0.023493483463,-0.0769113901185
17.4,-0.0919029478916,1.40540772722,-0.0369327722587,-0.0666758616866,-0.117476538821,1.54851918457,-0.0382204628501,-0.0684977292314
17.6,0.187458200706,1.3588531728,-0.0486085158994,-0.0485323656623,0.191394174578,1.50751082422,-0.0501938202241,-0.0496443043314
17.8,0.440394689194,1.14434613203,-0.0558030541552,-0.0222747577291,0.472967490242,1.27890166346,-0.0575240552459,-0.0225050872254
18,0.635894617758,0.790878934898,-0.0571629507148,0.00929833641444,0.692500734424,0.894130755461,-0.0588390123307,0.00997383293501
18.2,0.750514538474,0.344304883363,-0.0519491080023,0.0428800929076,0.823558086845,0.403851901714,-0.05340207198,0.044432939545
18.4,0.771185470113,-0.138612666668,-0.0401183649606,0.0748445698274,0.851199833785,-0.128911004973,-0.0411719999429,0.0772933652665
18.6,0.696682996062,-0.597462094309,-0.022371422154,0.101408660634,0.773651881913,-0.636948130368,-0.0228417686289,0.104793530121
18.8,0.537593263674,-0.975791695459,-0.000163356840547,0.118859981306,0.602287854348,-1.05739054265,0.00013014766023,0.123072396256
19,0.314807778942,-1.22805191877,0.0243449805641,0.123929738998,0.359952421145,-1.33960966446,0.0255313411768,0.128546312942
19.2,0.056769893452,-1.32501606847,0.0484270018716,0.114330368127,0.0778490240299,-1.45150838785,0.0505185374998,0.118630198438
19.4,-0.20416150625,-1.25712130948,0.069049066159,0.0893830148972,-0.208588612335,-1.38324329116,0.0719014878245,0.0925677376341
19.6,-0.435784008065,-1.03545610173,0.0832495926583,0.050557256044,-0.464251326223,-1.14769924007,0.0865741727781,0.0520193809359
19.8,-0.610075196683,-0.690275500282,0.0885971597461,0.00167918526708,-0.65867385661,-0.777738091272,0.0920167691599,0.00115315053749
20,-0.706669972972,-0.267038890482,0.0836382391841,-0.0514063789063,-0.76954818777,-0.321090609785,0.0867571612438,-0.0538529567198
20.2,-0.715317683245,0.179742508974,0.0682168250608,-0.101766125076,-0.785086321056,0.165836531985,0.0706781118435,-0.105832163241
20.4,-0.636953270636,0.594025971116,0.0435646767744,-0.142683625268,-0.705119197942,0.624310878074,0.0450862463725,-0.14793491064
20.6,-0.483236198814,0.925792314086,0.0121277286003,-0.168913891564,-0.540933363295,0.999556462464,0.0125227732056,-0.174836721079
20.8,-0.274694685069,1.1372313492,-0.0228172301001,-0.177471885829,-0.313851339986,1.24702138923,-0.0236264282006,-0.183491830858
21,-0.0378498440261,1.20667591572,-0.0576399502228,-0.167782931922,-0.052592157557,1.33815721379,-0.0596127761206,-0.173301599505
21.2,0.198206772083,1.13016843804,-0.0888090190595,-0.14132172626,0.210375793458,1.26447524979,-0.0917900318707,-0.145808343829
21.4,0.405339611186,0.921001397642,-0.113244276737,-0.101024506954,0.443010604823,1.0386234386,-0.116987893721,-0.104122289898
21.6,0.559630220805,0.607564222414,-0.128551468481,-0.0507335693967,0.61775128276,0.692136158974,-0.132761300617,-0.0522844001768
21.8,0.6440545964,0.229687384877,-0.133161651734,0.00518802320648,0.714842220723,0.270564158992,-0.137522052525,0.00524246889891
22,0.650298139882,-0.166265662127,-0.126412400566,0.0620602626674,0.724519150743,-0.172843785084,-0.130594548759,0.0638090447618
22.2,0.579503516594,-0.533053533232,-0.108600180537,0.114989640007,0.647875841185,-0.58387007142,-0.112252261563,0.118558545339
22.4,0.441873689348,-0.82821402059,-0.0810114254698,0.15900179578,0.496404779798,-0.913768076972,-0.0837660306046,0.164382485119
22.6,0.255211066631,-1.01891953883,-0.0459132079512,0.189331072729,0.290318276233,-1.12494965828,-0.0474365340819,0.196168816685
22.8,0.0426204200875,-1.08540696947,-0.00646380431926,0.201935573452,0.0558439138166,-1.19546543251,-0.00653374347735,0.20948046132
23,-0.170306880636,-1.02272655786,0.0335000789218,0.194198580279,-0.178202402131,-1.1216189678,0.0349294925375,0.201481983146
23.2,-0.358496886189,-0.84091035258,0.0698226230082,0.165657349107,-0.38411409528,-0.917947331015,0.072604060377,0.171755556214
23.4,-0.500289370988,-0.563746856549,0.0985168800813,0.118517238687,-0.538690909477,-0.614257525742,0.102338733939,0.122728860834
23.6,-0.57995178323,-0.22616583279,0.116312932841,0.0577026146826,-0.625798203227,-0.250418319071,0.12075042812,0.0595984890617
23.8,-0.58952191282,0.129865152349,0.121155975564,-0.0097056694115,-0.63778422543,0.129572962584,0.125725691115,-0.0102822631624
24,-0.529692189907,0.460745669702,0.112532820335,-0.0755944752792,-0.575764609522,0.482800408689,0.116748240091,-0.0785149246031
24.2,-0.409541026325,0.727193646076,0.0915396644357,-0.132217153684,-0.448995135749,0.771325786831,0.0949687429823,-0.13707084952
24.4,-0.24511758471,0.899546029321,0.0606777713397,-0.173444162518,-0.273574234814,0.965100543919,0.0629932964158,-0.179611944823
24.6,-0.0571308964669,0.961258124668,0.0234448182515,-0.195514714595,-0.0706072414814,1.04451882848,0.0244537049353,-0.202296797998
24.8,0.131827166193,0.910040362772,-0.0161632737546,-0.197187381919,0.13612006957,1.00271568866,-0.0165161711393,-0.203919810897
25,0.300063758789,0.756864481694,-0.054131650192,-0.179440004845,0.32284711692,0.846892291935,-0.0557783085431,-0.185561999754
25.2,0.429212854804,0.523543441679,-0.0868216756361,-0.144968656187,0.468629866023,0.597725090651,-0.0895941850699,-0.150041605858
25.4,0.506093066746,0.239537165289,-0.111263041115,-0.0976823546522,0.557791571306,0.286588226019,-0.114916369237,-0.101366883324
25.6,0.523882268444,-0.0616414047508,-0.125352911117,-0.0422860580215,0.581646360837,-0.0487827596116,-0.129580293473,-0.0442973900814
25.8,0.482553348348,-0.346179892775,-0.127981615806,0.0160412311824,0.539284011632,-0.369178490403,-0.132423062717,0.0159470937994
26,0.388567344086,-0.58357985251,-0.119099725649,0.0719220396241,0.437393333679,-0.638537653523,-0.123355183138,0.0738843587864
26.2,0.253889967255,-0.749742353808,-0.0997284291638,0.120084719442,0.289227382753,-0.82786018901,-0.103390454562,0.124017694083
26.4,0.0944750818112,-0.829162279675,-0.0719004743983,0.155761270314,0.112874016593,-0.918216888266,-0.0746091693353,0.161269718666
26.6,-0.0715832443568,-0.816035578206,-0.0385103884285,0.175193191997,-0.0709715899378,-0.902682511582,-0.0400139869286,0.181608162216
26.8,-0.226013526879,-0.714327453893,-0.00305717177407,0.176184236429,-0.241489498809,-0.786893765187,-0.00325332578579,0.182709946306
27,-0.352257094387,-0.537018980507,0.03071791486,0.158571490136,-0.380163617373,-0.587914660559,0.0317739713556,0.164452020413
27.2,-0.437142289451,-0.304718144301,0.0592666127584,0.124459524931,-0.472811005887,-0.331428523832,0.0613819035888,0.129084477442
27.4,-0.472219900949,-0.0436505515017,0.0796809378912,0.0780904227362,-0.510928109344,-0.0478611660047,0.0825586347822,0.0810352445071
27.6,-0.454628775124,0.217034009508,0.0900733100755,0.02530391645,-0.49223580233,0.231588005913,0.0933519015335,0.0263501421587
27.8,-0.387360149012,0.448539506708,0.0898128059833,-0.0273384538848,-0.420493106589,0.478195307358,0.0931098010088,-0.0281783573448
28,-0.278839623572,0.625876381986,0.0795678694783,-0.0735735030257,-0.30475987096,0.667979955935,0.0825271869172,-0.0760508518831
28.2,-0.141853045541,0.730858952431,0.0611512924182,-0.10835262424,-0.158286640425,0.783230320027,0.0634867121329,-0.11203027996
28.4,0.00803052004919,0.754057392227,0.0372102320034,-0.128450065819,0.00285944722596,0.813669277862,0.0387341822052,-0.132795960727
28.6,0.154293982743,0.695411836806,0.0108331807263,-0.132683938784,0.161379836216,0.757387172615,0.0114657714826,-0.137167285661
28.8,0.281301624511,0.563604631678,-0.014852006702,-0.121801407013,0.300474151842,0.62128564331,-0.0150903219167,-0.125956965566
29,0.375907342235,0.374544284799,-0.037033395238,-0.0981480905363,0.405574372921,0.420618547026,-0.0380382144721,-0.10160370213
29.2,0.428703185184,0.149339528483,-0.0534925570456,-0.0652383114635,0.46587731699,0.177433644018,-0.0550947424836,-0.0677181363549
29.4,0.434834637929,-0.0879742554054,-0.0627930962473,-0.0273034103281,0.475468291445,-0.0818986766861,-0.064777568708,-0.02862340865
29.6,0.394350300808,-0.312794557983,-0.0643799654461,0.011145379486,0.433894224818,-0.329640995198,-0.0665042570888,0.0110728165513
29.8,0.312082598943,-0.502257347912,-0.0585936511957,0.0457313137548,0.346134555163,-0.539690554052,-0.0606091452353,0.0468751797962
30,0.197085753627,-0.637331542786,-0.0466034030668,0.0726082086271,0.221995616859,-0.690297083924,-0.0482819698785,0.0747908796755
30.2,0.0616892702043,-0.704545146045,-0.030262963035,0.0888380844168,0.0750100688053,-0.766259490306,-0.0314274904385,0.0917293004829
30.4,-0.0797463067398,-0.697219858235,-0.0118940343207,0.092730690085,-0.0790340939601,-0.760401572684,-0.0124459921887,0.0958849627454
30.6,-0.212264550553,-0.616135283787,0.0059907408583,0.0840992660476,-0.223772963196,-0.674157681166,0.00605544260725,0.0870325043264
30.8,-0.321819345513,-0.469565683186,0.0210022557699,0.064367798481,-0.343966919119,-0.517195644442,0.0215945497734,0.0666468905077
31,-0.396720731936,-0.272629656754,0.0311905332877,0.0364658033399,-0.427036019421,-0.306178787114,0.0321462603457,0.0377830515186
31.2,-0.428877910158,-0.0459093609146,0.0353147398108,0.00447603065404,-0.464283192217,-0.0629352186539,0.0364246949409,0.00469320785704
31.4,-0.414695388016,0.186618954855,0.0330193571212,-0.0269419779522,-0.451718347533,0.187656237249,0.0340647975474,-0.0277829197343
31.6,-0.355501127361,0.400149205388,0.0248798658551,-0.0532593782658,-0.390449201405,0.419866473493,0.0256670338242,-0.0549560907904
31.8,-0.257440017217,0.571762521084,0.0123057114722,-0.0707714452804,-0.286627306326,0.609367557939,0.0126938805848,-0.0730046449925
32,-0.13084181357,0.682902777215,-0.00268135731522,-0.0771285639506,-0.15093660162,0.73555382024,-0.00276200613942,-0.079518260833
32.2,0.01085456139,0.721297924303,-0.0177502193054,-0.0716083000027,0.00238207187796,0.783825467922,-0.0182922892909,-0.0737716502216
32.4,0.152491563441,0.682175277922,-0.0305898163498,-0.0551122601207,0.15693441155,0.747516830065,-0.0315134590573,-0.0567154205985
32.6,0.278753844279,0.568752304269,-0.0392143838509,-0.029939747216,0.29589075836,0.62904710712,-0.0403813157645,-0.030737357801
32.8,0.375756855918,0.392026873364,-0.0422080245524,0.000577889405499,0.403828729174,0.439982088652,-0.0434415781513,0.000722941004101
33,0.432524126246,0.169873069873,-0.0388890675163,0.0325020864659,0.46847204822,0.199946334845,-0.0399959625058,0.0336205276901
33.2,0.442214373069,-0.074552397038,-0.029388397464,0.061715925414,0.482109615988,-0.0654450071803,-0.0301788469531,0.0637437634566
33.4,0.402965463807,-0.315029920734,-0.0146438982102,0.0843323376492,0.442526368683,-0.327348339292,-0.0149500937215,0.0871124197017
33.6,0.318244451104,-0.524960976321,0.00368442691647,0.0970799638088,0.353338567633,-0.55683200664,0.00398830122404,0.100346025549
33.8,0.196634955462,-0.680262591974,0.0233746809346,0.0976708199991,0.223690222244,-0.728068344346,0.0243488986082,0.101033318424
34,0.051049932661,-0.76216588424,0.0418743367454,0.0851389780348,0.0673350605801,-0.821225358816,0.0434902814445,0.088106562973
34.2,-0.102578948915,-0.759598072654,0.0565931860323,0.0601089391145,-0.0987996500988,-0.82470008289,0.058719658743,0.0621638939371
34.4,-0.247020255392,-0.670831953296,0.0652369976014,0.0249199458075,-0.256405726721,-0.736416412847,0.0676459641091,0.025631711631
34.6,-0.36569341689,-0.504107840117,0.0661441727917,-0.0164827635615,-0.387743277774,-0.564096701366,0.0685396178794,-0.0173480645991
34.8,-0.44462158654,-0.277008723335,0.0585713448027,-0.0589564083092,-0.477549801307,-0.324619961993,0.0606357911573,-0.0613752260696
35,-0.474129470931,-0.014549380352,0.0428669178499,-0.0968635020679,-0.514745549403,-0.0426524301547,0.0443129319967,-0.100567027575
35.2,-0.450047643333,0.253783550809,0.0204830713009,-0.124956419118,-0.493799304077,0.251385436411,0.0210957185056,-0.129503696964
35.4,-0.374260189359,0.497539933934,-0.00619069568935,-0.139238969581,-0.415612194869,0.524133067714,-0.00652860684023,-0.144107447133
35.6,-0.254545602307,0.688773123319,-0.034145312439,-0.137585365771,-0.287751248034,0.742970170521,-0.0354441602704,-0.142237819275
35.8,-0.103766927705,0.805030362106,-0.0601568878907,-0.119979011851,-0.123880672446,0.880264370399,-0.0623216313378,-0.12390460611
36,0.0614724719611,0.831696389286,-0.0811996942601,-0.0883660256338,0.0576500877809,0.917395438864,-0.0840392884094,-0.0911245442312
36.2,0.222574979872,0.763663803092,-0.0947995267741,-0.0462291992584,0.235920643923,0.847613152614,-0.0980469427941,-0.0475113700901
36.4,0.36095544296,0.606242990698,-0.0992866456415,0.00196413836971,0.389954365244,0.677130082449,-0.102630327022,0.00229033682743
36.6,0.460136844536,0.375101021526,-0.0939376350961,0.0513014194002,0.501266935317,0.424399345741,-0.0970571385566,0.0531997900484
36.8,0.507718140479,0.0950192564989,-0.0790182212314,0.0968678697293,0.556114434122,0.11790084819,-0.081612267898,0.100194744235
37,0.496970241267,-0.202568555333,-0.0557487604351,0.134080234771,0.547184116899,-0.207153020157,-0.0575507309427,0.138636789378
37.2,0.427833490915,-0.483043313701,-0.0262104472163,0.158956804998,0.474548205034,-0.512839107058,-0.0269996842779,0.16447298101
37.4,0.307155340262,-0.712649472737,0.00680198295202,0.168393810845,0.345767802126,-0.762940617896,0.00717887860078,0.174453432985
37.6,0.148102702859,-0.862613409721,0.0399880239202,0.16049818655,0.175108501039,-0.927326854337,0.0415815447785,0.166486474019
