时间t(s),弹簧瞬时长度l(m),滑移量xi(m)
0,0.4519575,0
0.2,0.4447370845,-0.007220415536
0.4,0.4394799314,-0.01247756857
0.6,0.4447344822,-0.007223017839
0.8,0.4547036357,0.002746135718
1,0.4634121688,0.01145466881
1.2,0.4691490463,0.01719154627
1.4,0.4718814005,0.01992390053
1.6,0.4712003,0.01924279996
1.8,0.4666289673,0.01467146735
2,0.4584610296,0.006503529588
2.2,0.447923539,-0.004033960988
2.4,0.4368370006,-0.01512049944
2.6,0.42717727,-0.02478023003
2.8,0.4207341759,-0.03122332405
3,0.41880386,-0.03315364005
3.2,0.4219929789,-0.02996452111
3.4,0.4301229584,-0.02183454164
3.6,0.4422816241,-0.009675875872
3.8,0.4569570406,0.004999540601
4,0.4721996135,0.02024211349
4.2,0.4858447629,0.03388726285
4.4,0.4957835482,0.0438260482
4.6,0.5002946295,0.04833712948
4.8,0.4983379554,0.04638045536
5,0.4897538131,0.0377963131
5.2,0.4753008342,0.02334333422
5.4,0.4565873713,0.004629871297
5.6,0.4359259432,-0.01603155678
5.8,0.4161440609,-0.03581343909
6,0.4002851164,-0.05167238359
6.2,0.3911316785,-0.06082582155
6.4,0.3906012234,-0.06135627656
6.6,0.3992185707,-0.05273892929
6.8,0.4159215066,-0.03603599339
7,0.438294746,-0.01366275397
7.2,0.4631128573,0.01115535733
7.4,0.4869488687,0.03499136868
7.6,0.5066477686,0.05469026858
7.8,0.5196300138,0.06767251379
8,0.5241116189,0.07215411895
8.2,0.5193261591,0.06736865905
8.4,0.5057103039,0.05375280391
8.6,0.4849287888,0.03297128882
8.8,0.4596455387,0.007688038667
9,0.4330822152,-0.01887528477
9.2,0.4085251007,-0.04343239927
9.4,0.3889563161,-0.06300118394
9.6,0.3768586726,-0.07509882741
9.8,0.3740693486,-0.07788815142
10,0.3815100081,-0.07044749194
10.2,0.3987991996,-0.05315830037
10.4,0.4239969928,-0.02796050721
10.6,0.4537529539,0.001795453881
10.8,0.4838836516,0.03192615164
11,0.5101490535,0.0581915535
11.2,0.5289467851,0.07698928515
11.4,0.5377751323,0.08581763234
11.6,0.535471379,0.08351387897
11.8,0.5222985498,0.07034104984
12,0.4999199384,0.04796243838
12.2,0.4712351196,0.0192776196
12.4,0.4400286089,-0.01192889108
12.6,0.4104346183,-0.04152288168
12.8,0.38631509,-0.06564241001
13,0.3707092898,-0.08124821025
13.2,0.3654830257,-0.08647447426
13.4,0.3711985921,-0.0807589079
13.6,0.3871295172,-0.06482798276
13.8,0.411341849,-0.040615651
14,0.4408474887,-0.01111001133
14.2,0.4719002232,0.0199427232
14.4,0.5004675533,0.0485100533
14.6,0.5228072855,0.07084978555
14.8,0.5360118825,0.08405438255
15,0.5384047167,0.08644721669
15.2,0.5297396282,0.07778212823
15.4,0.5112062614,0.05924876143
15.6,0.4852585949,0.03330109492
15.8,0.4552850401,0.003327540055
16,0.4251526163,-0.02680488375
16.2,0.3986882349,-0.05326926515
16.4,0.3791838593,-0.07277364066
16.6,0.3690029884,-0.08295451163
16.8,0.3693248415,-0.08263265849
17,0.3800241456,-0.07193335442
17.2,0.3996807893,-0.05227671066
17.4,0.425734712,-0.02622278804
17.6,0.454803287,0.002845787026
17.8,0.4831378792,0.03118037916
18,0.5071415891,0.05518408907
18.2,0.523848458,0.07189095798
18.4,0.5312892392,0.07933173919
18.6,0.5287120018,0.07675450177
18.8,0.5166520763,0.06469457626
19,0.4968468655,0.04488936549
19.2,0.4719881959,0.02003069589
19.4,0.4453260258,-0.006631474195
19.6,0.4201878792,-0.03176962084
19.8,0.3995269512,-0.05243054879
20,0.3856079751,-0.06634952494
20.2,0.3798626048,-0.0720948952
20.4,0.3828447985,-0.06911270154
20.6,0.3941877045,-0.05776979547
20.8,0.4125494987,-0.03940800135
21,0.4356508674,-0.01630663255
21.2,0.4605166463,0.008559146304
21.4,0.4839180505,0.03196055053
21.6,0.502886578,0.05092907798
21.8,0.5151444913,0.06318699129
22,0.5193666864,0.06740918641
22.2,0.5152784409,0.06332094094
22.4,0.5036370291,0.05167952913
22.6,0.4861278471,0.03417034711
22.8,0.4651615105,0.01320401053
23,0.4435425755,-0.008414924476
23.2,0.4240268335,-0.02793066648
23.4,0.4088683389,-0.04308916105
23.6,0.3995071174,-0.05245038255
23.8,0.3965041509,-0.05545334908
24,0.3997006562,-0.05225684382
24.2,0.4084491773,-0.04350832272
24.4,0.421746302,-0.03021119796
24.6,0.4382252522,-0.01373224777
24.8,0.456128707,0.00417120703
25,0.4734148435,0.02145734348
25.2,0.4880287939,0.03607129391
25.4,0.4982364914,0.04627899145
25.6,0.5028905841,0.05093308407
25.8,0.5015647468,0.04960724679
26,0.4945677848,0.04261028479
26.2,0.4828778579,0.03092035789
26.4,0.4680207635,0.01606326355
26.6,0.4518869859,-7.051408754e-05
26.8,0.4364772585,-0.01548024151
27,0.4236005895,-0.02835691055
27.2,0.414597619,-0.03735988097
27.4,0.4101792433,-0.04177825674
27.6,0.4104300069,-0.04152749311
27.8,0.4149473372,-0.03701016279
