时间t(s),机械能E(J),能量对账E0+∫Ėdt(J),相对残差
0,0,0,0
0.2,36.92676325,36.92665392,2.882707604e-06
0.4,116.4566987,116.4564757,1.898011573e-06
0.6,188.0620902,188.0618009,1.529891772e-06
0.8,220.5734083,220.5731307,1.252804233e-06
1,219.086074,219.0858706,9.241640201e-07
1.2,218.4135256,218.4134362,4.076792972e-07
1.4,270.338651,270.3386474,1.29915368e-08
1.6,413.6011556,413.6011485,1.711055203e-08
1.8,646.074291,646.0741807,1.705190078e-07
2,920.0665199,920.0662534,2.892523851e-07
2.2,1164.088465,1164.088072,3.37829013e-07
2.4,1320.000643,1320.000222,3.181752631e-07
2.6,1376.038216,1376.037895,2.332883342e-07
2.8,1378.096337,1378.0962,9.936266115e-08
3,1410.9276,1410.927643,3.02886099e-08
3.2,1556.904783,1556.904906,7.880111621e-08
3.4,1852.334854,1852.334906,2.817396436e-08
3.6,2264.319971,2264.319826,6.406193916e-08
3.8,2701.874453,2701.874075,1.398929883e-07
4,3057.891993,3057.891461,1.738294358e-07
4.2,3261.951859,3261.951334,1.610029129e-07
4.4,3317.278056,3317.277701,1.070171718e-07
4.6,3302.423692,3302.423594,2.972721657e-08
4.8,3335.672681,3335.672804,3.678078764e-08
5,3518.565703,3518.565901,5.625484873e-08
5.2,3885.484202,3885.484287,2.186299954e-08
5.4,4384.098786,4384.098617,3.856238633e-08
5.6,4897.287197,4897.286751,9.11602218e-08
5.8,5297.307794,5297.307179,1.161218165e-07
6,5506.535771,5506.535177,1.076939397e-07
6.2,5535.307071,5535.306684,6.991675279e-08
6.4,5478.747349,5478.74726,1.630261375e-08
6.6,5474.212271,5474.212436,2.997894354e-08
6.8,5638.427915,5638.428168,4.481390738e-08
7,6011.857803,6011.857929,2.10500014e-08
7.2,6535.971437,6535.971273,2.517065808e-08
7.4,7076.48734,7076.486852,6.889185941e-08
7.6,7484.719036,7484.718349,9.181983482e-08
7.8,7668.913222,7668.912558,8.648614142e-08
8,7640.346778,7640.346356,5.51667325e-08
8.2,7510.521992,7510.521919,9.735950912e-09
8.4,7439.942813,7439.943031,2.923975971e-08
8.6,7562.372972,7562.373282,4.095285632e-08
8.8,7919.972714,7919.972867,1.929153927e-08
9,8440.152211,8440.152024,2.205047355e-08
9.2,8966.69993,8966.699381,6.12198006e-08
9.4,9332.648489,9332.647729,8.144938054e-08
9.6,9440.967799,9440.967085,7.560551666e-08
9.8,9313.146129,9313.1457,4.600665374e-08
10,9080.640613,9080.640575,4.226553096e-09
10.2,8923.18176,8923.182032,3.05674396e-08
10.4,8984.096092,8984.096449,3.9794182e-08
10.6,9302.233747,9302.233919,1.840177953e-08
10.8,9791.440124,9791.439918,2.098459904e-08
11,10278.04193,10278.04134,5.820398778e-08
