时间t(s),质量矩阵最小特征值min_eig_M
0,577.7255488
0.2,565.9102975
0.4,557.4180031
0.6,565.8736303
0.8,582.1796397
1,596.6909596
1.2,606.38061
1.4,611.0558031
1.6,609.9393589
1.8,602.2208936
2,588.5186449
2.2,571.0782176
2.4,553.0335878
2.6,537.5521956
2.8,527.3014793
3,524.1205952
3.2,528.9307914
3.4,541.6729457
3.6,561.2991657
3.8,585.7259676
4,611.8056831
4.2,635.5684409
4.4,652.8162805
4.6,660.0776888
4.8,655.5094854
5,639.3810726
5.2,613.903681
5.4,582.6706788
5.6,549.9519079
5.8,520.1023436
6,497.0752937
6.2,484.0184152
6.4,482.9821146
6.6,494.7363809
6.8,518.6341786
7,552.4746353
7.2,592.4840696
7.4,633.5588288
7.6,669.7872269
7.8,695.239696
8,705.0574707
8.2,696.7764796
8.4,671.3711917
8.6,633.2486072
8.8,588.9362701
9,545.1596943
9.2,507.3502131
9.4,479.1487302
9.6,462.7457619
9.8,459.4931002
10,470.2386916
10.2,495.1028986
10.4,532.7704105
10.6,579.739098
10.8,630.1473917
11,676.5364474
11.2,711.3349751
11.4,728.4965622
11.6,724.8107557
11.8,700.6674309
12,660.1122511
12.2,609.9982168
12.4,558.3065703
12.6,512.2396595
12.8,476.9221094
13,455.1658893
13.2,448.0732003
13.4,455.8231286
13.6,478.0435767
13.8,513.5396853
14,559.5854644
14.2,611.3191584
14.4,661.8422029
14.6,703.2905052
14.8,728.5943734
15,733.2628187
15.2,716.5432509
15.4,681.5898104
15.6,634.6034437
15.8,583.2288966
16,534.7748621
16.2,494.8971767
16.4,467.130755
16.6,453.1984092
16.8,453.6530599
17,468.3333605
17.2,496.3292405
17.4,535.5177488
17.6,582.0527904
17.8,630.2924964
18,673.4433179
18.2,704.8184205
18.4,719.3104112
18.6,714.6139441
18.8,691.827695
19,655.2046378
19.2,611.0506428
19.4,566.129371
19.6,526.2000206
19.8,495.2279876
20,475.396821
20.2,467.619735
20.4,472.074109
20.6,488.3952942
20.8,515.4390112
21,550.8242307
21.2,590.6684724
21.4,629.8696556
21.6,662.9568869
21.8,685.1779358
22,693.4104755
22.2,686.68582
22.4,666.3299531
22.6,635.7485263
22.8,599.8032473
23,563.8012768
23.2,532.3835122
23.4,508.7567155
23.6,494.5305562
23.8,490.0534143
24,494.9151207
24.2,508.3005771
24.4,529.0305654
24.6,555.3328044
24.8,584.5935779
25,613.4112415
25.2,638.088319
25.4,655.376175
25.6,663.1209511
25.8,660.5823909
26,648.4332165
26.2,628.5641672
26.4,603.7775462
26.6,577.3715162
26.8,552.622239
27,532.2657321
27.2,518.1465898
27.4,511.1373138
27.6,511.2901554
27.8,518.0859056
28,530.638596
28.2,547.773323
28.4,567.9866436
28.6,589.392075
28.8,609.7837806
29,626.8786044
29.2,638.6723924
29.4,643.7773605
29.6,641.6376506
29.8,632.5951454
30,617.8230797
30.2,599.1471401
30.4,578.7713
30.6,558.9499453
30.8,541.6836735
31,528.5201055
31.2,520.494236
31.4,518.1740925
31.6,521.7333695
31.8,530.9778934
32,545.2998463
32.2,563.5947302
32.4,584.2168938
32.6,605.0461091
32.8,623.6930989
33,637.8161835
33.2,645.4863608
33.4,645.5294241
33.6,637.7721265
33.8,623.117333
34,603.3967122
34.2,581.0237245
34.4,558.5627473
34.6,538.3674165
34.8,522.3850345
35,512.115465
35.2,508.630151
35.4,512.5479809
35.6,523.9217672
35.8,542.0690051
36,565.4397384
36.2,591.6241179
36.4,617.555005
36.6,639.8853665
36.8,655.4712695
37,661.8925395
37.2,657.9470644
37.4,644.0018598
37.6,622.0195106
