时间t(s),相对位移u=zo-zf(m),相对角phi=thetao-thetaf(rad),直线PTO功率Pl(W),旋转PTO功率Ptheta(W)
0,0,0,0,0
0.2,-0.007220871988,0.000609849686,22.75762419,0.007883036176
0.4,-0.0124731919,0.0004542613521,0.02443724944,0.02925167675
0.6,-0.007214960619,0.0006587625858,20.00994465,0.00639642298
0.8,0.002744738751,0.001111649757,24.58292491,0.007458213225
1,0.01141060368,0.0009872027309,12.95667773,0.001321610495
1.2,0.01708864663,0.001320617571,4.394665168,0.003005915323
1.4,0.01977418815,0.001146402577,0.3054411209,0.002023032691
1.6,0.01909487394,0.0008771051976,1.634333309,0.01049260925
1.8,0.01459259991,0.0005820436976,10.25224127,0.003873999809
2,0.006541298178,-0.0001479551225,22.54793778,0.00812617751
2.2,-0.003888975071,-0.0007379261678,30.62587374,0.02147325628
2.4,-0.01496523147,-0.001520502982,28.95125212,0.007229963258
2.6,-0.02477758287,-0.002255527978,18.32445105,0.01569165605
2.8,-0.03154011942,-0.002769725236,5.584866876,0.005192173808
3,-0.03385470413,-0.003208756756,0.013048313,0.0008583409197
3.2,-0.03095193578,-0.003255293833,7.765501782,3.103254691e-05
3.4,-0.02285884503,-0.003039024535,27.38797797,0.005891223507
3.6,-0.01044252547,-0.002504152101,49.65709929,0.01077998921
3.8,0.004685050269,-0.001617899458,62.40903845,0.02441534314
4,0.02038498151,-0.0005626944642,57.76701336,0.03649812535
4.2,0.03429894874,0.0006826788794,37.51749855,0.03662267711
4.4,0.04420217586,0.001931478644,13.17872653,0.03982106949
4.6,0.04835023563,0.003067156387,0.1891227265,0.02665404225
4.8,0.04576674978,0.004004834005,9.125855414,0.01474173957
5,0.03642614083,0.004579086939,38.91087034,0.004258869254
5.2,0.02130038538,0.004765872121,76.21513753,0.0001047668391
5.4,0.002258545033,0.004499934572,101.9706237,0.005596474689
5.6,-0.01817042127,0.003787053344,101.8149315,0.02115640847
5.8,-0.03714054224,0.002701741755,74.75693137,0.03982275526
6,-0.05189003757,0.001308925245,34.93697073,0.05496598088
6.2,-0.06014373129,-0.0002411964232,4.931208927,0.06391303672
6.4,-0.06045802672,-0.001811377492,3.757585745,0.05786854016
6.6,-0.05245680883,-0.003251772948,35.96462436,0.04374430942
6.8,-0.03692130762,-0.004407320412,88.00367841,0.02406650364
7,-0.01571725242,-0.005174008236,134.4032742,0.00703898404
7.2,0.008434287501,-0.00546156416,150.9523395,4.0829975e-05
7.4,0.03231343667,-0.005239682673,128.039759,0.005701995943
7.6,0.05263770992,-0.004527953804,76.81712951,0.02214128507
7.8,0.06651790363,-0.00338610672,24.39711133,0.043458732
