时间t(s),动能T(J),势能V(J),机械能E(J),波浪输入功率Pin(W),垂荡兴波耗散bh_zdotf2(W),纵摇兴波耗散btheta_thetadotf2(W),直线PTO耗散Pl(W),旋转PTO耗散Ptheta(W),总耗散Pd(W),累计输入功Win(J),累计耗散Wdiss(J),能量残差E-(Win-Wdiss)(J)
0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,32.99746917,3.934859381,36.93232855,358.0355767,6.298041355,0.2168506885,22.75762419,0.007883036168,29.28039927,40.47198266,3.53965411,5.532001524e-10
0.4,90.40036019,26.10438635,116.5047465,434.2282618,13.1463106,0.7281678416,0.02443724949,0.02925167673,13.92816737,123.9858933,7.481146786,6.342588676e-10
0.6,118.9992327,69.18621133,188.185444,305.1567458,14.05962403,1.116309577,20.00994465,0.006396422974,35.19227469,200.3909077,12.20546368,6.77260914e-10
0.8,84.81404399,135.9404534,220.7544974,94.85852682,8.699803141,1.12343955,24.58292491,0.007458213229,34.41362582,240.5286532,19.77415581,7.104006272e-10
1,22.08014088,197.2275516,219.3076925,-30.18939503,1.247605447,0.674793186,12.95667773,0.001321610493,14.88039798,244.0077448,24.70005235,7.16681825e-10
1.2,14.7175604,204.0077698,218.7253302,92.61466656,2.537769326,0.132697397,4.394665167,0.003005915318,7.068137805,245.2842311,26.55890091,7.197797913e-10
1.4,132.5660014,138.4293995,270.995401,494.4875701,22.00445821,0.0636698646,0.3054411204,0.00202303269,22.37559223,300.0897396,29.09433862,7.210019248e-10
1.6,367.5024899,47.52062618,415.0231161,1026.02943,56.74627343,0.9334897512,1.634333311,0.01049260925,59.3245891,452.0057643,36.98264823,7.231051313e-10
1.8,616.7247063,31.86083132,648.5855376,1430.21843,90.20356513,2.769058781,10.25224128,0.003873999806,103.2287392,701.8976116,53.312074,7.269136404e-10
2,736.4103446,187.1988036,923.6091481,1489.248187,101.7942787,5.073525689,22.54793779,0.008126177518,129.4238684,1000.692573,77.08342483,7.34871719e-10
2.2,639.2965953,528.8802864,1168.176882,1153.176894,81.2481498,6.940384389,30.62587374,0.02147325628,118.8358812,1270.751766,102.5748843,7.439666661e-10
2.4,373.1398781,950.8689391,1324.008817,588.7451447,38.92009393,7.451094086,28.95125211,0.007229963264,75.3296701,1446.366415,122.3575975,7.535163604e-10
2.6,120.2553986,1259.385894,1379.641292,111.868771,4.09606851,6.264211437,18.32445105,0.01569165606,28.70042265,1512.116979,132.4756872,7.612470654e-10
2.8,103.5581406,1277.802212,1381.360352,27.28498129,9.595727112,3.771440992,5.58486687,0.005192173809,18.95722715,1517.689432,136.3290802,7.646576705e-10
3,445.9780791,967.8854349,1413.863514,460.2908151,70.41411541,1.1834654,0.01304831335,0.0008583409229,71.61148746,1558.16409,144.3005758,7.651124179e-10
3.2,1068.867563,489.963384,1558.830947,1270.131663,169.7390662,0.0002788602411,7.765501791,3.103254709e-05,177.5048779,1727.44104,168.6100925,7.671587809e-10
